년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
08-Mar,서울경기,6.8,2.8,11.7
08-Apr,서울경기,13.2,8.1,18.9
08-May,서울경기,16.9,12.4,22
08-Jun,서울경기,21,17.2,25.7
08-Jul,서울경기,24.7,22.1,28
08-Aug,서울경기,25,21.5,29.3
08-Sep,서울경기,21.7,17.6,26.7
08-Oct,서울경기,15.9,11.6,21
08-Nov,서울경기,7.5,3.1,12.2
08-Dec,서울경기,1.1,-3.1,5.4
09-Jan,서울경기,-2.2,-6.5,2.6
09-Feb,서울경기,2.5,-1.7,6.9
09-Mar,서울경기,5.8,1.1,10.6
09-Apr,서울경기,11.7,6.9,17.1
09-May,서울경기,17.9,13.4,23.1
09-Jun,서울경기,21.4,17.6,25.8
09-Jul,서울경기,23.7,20.4,27.7
09-Aug,서울경기,25.2,21.7,29.2
09-Sep,서울경기,21.2,16.9,26
09-Oct,서울경기,15.6,11,20.9
09-Nov,서울경기,6.8,3.2,10.6
09-Dec,서울경기,-0.9,-4.6,3
10-Jan,서울경기,-4.5,-8.8,-0.1
10-Feb,서울경기,1.1,-2.6,5.1
10-Mar,서울경기,4.4,0.4,8.4
10-Apr,서울경기,9.2,5.1,13.8
10-May,서울경기,16.5,12.3,21.3
10-Jun,서울경기,22.5,18.3,27.3
10-Jul,서울경기,25.3,22.7,28.8
10-Aug,서울경기,26.3,23.6,29.8
10-Sep,서울경기,21.8,18.4,26
10-Oct,서울경기,14.3,9.8,19.4
10-Nov,서울경기,6.5,2,11.5
10-Dec,서울경기,-0.9,-5.3,3.7
11-Jan,서울경기,-7,-11.3,-2.8
11-Feb,서울경기,0.6,-3.7,5.7
11-Mar,서울경기,3.6,-0.5,8.4
11-Apr,서울경기,10,5.7,14.9
11-May,서울경기,16.8,12.3,21.9
11-Jun,서울경기,20.7,17.1,25.3
11-Jul,서울경기,24.4,21.7,27.7
11-Aug,서울경기,25.4,22.7,29.1
11-Sep,서울경기,21.4,17.4,26.1
11-Oct,서울경기,14,9.2,19.1
11-Nov,서울경기,10.8,7,14.8
11-Dec,서울경기,-0.7,-4.4,3.2
12-Jan,서울경기,-2.9,-7.1,1.6
12-Feb,서울경기,-2.1,-6.6,3.1
12-Mar,서울경기,4.8,1,9.2
12-Apr,서울경기,11.7,7,17.2
12-May,서울경기,18.5,14,24
12-Jun,서울경기,23.1,18.9,28.5
12-Jul,서울경기,24.8,22,28.4
12-Aug,서울경기,26.7,23.5,30.4
12-Sep,서울경기,20.6,16.9,24.8
12-Oct,서울경기,14.9,10.2,20.2
12-Nov,서울경기,5.5,1.4,9.6
12-Dec,서울경기,-4.3,-8.1,-0.3
13-Jan,서울경기,-3.6,-7.6,0.5
